courseId,courseTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName
140784,"Microsoft Excel Complete Course - Beginner, Intermediate & Advanced- CPD ",https://www.reed.co.uk/courses/microsoft-excel-complete-course-beginner-intermediate-advanced-cpd/140784#/courses/discount?sortby=MostPopular,Be-a.co.uk,0,"11,525 students purchased this course",29.0,597.0,yes,no,no,missing,missing
197897,Project Management Course,https://www.reed.co.uk/courses/project-management-course/197897#/courses/discount?sortby=MostPopular,CPD Courses,0,"1,512 students purchased this course",10.0,760.0,yes,yes,no,ABC Awards,Level 5 Diploma Project Management (Certificate of achievement)
162300,Food Hygiene Course - Level 2 ,https://www.reed.co.uk/courses/food-hygiene-course-level-2/162300#/courses/discount?sortby=MostPopular,The Training Terminal,0,"4,433 students purchased this course",12.0,30.0,no,no,no,missing,missing
266620,Leadership & Management,https://www.reed.co.uk/courses/leadership-management/266620#/courses/discount?sortby=MostPopular,CPD Courses,527,527 students purchased this course,10.0,1050.0,yes,yes,no,ABC Awards,Level 7 Diploma Leadership & Management (endorsed certificate)
188840,Basic Food Hygiene Certificate - Also known as Food Safety Level 2  ,https://www.reed.co.uk/courses/basic-food-hygiene-certificate-also-known-as-food-safety-level-2/188840#/courses/discount?sortby=MostPopular,The Training Terminal,0,"1,861 students purchased this course",12.0,30.0,no,no,no,missing,missing
228135,Office Administration,https://www.reed.co.uk/courses/office-administration/228135#/courses/discount?sortby=MostPopular,1 Training,0,"1,335 students purchased this course",10.0,399.0,yes,no,no,missing,missing
228586,"Teaching Assistant Complete Course (TA, SEN, Autism, ADHD & Dyslexia) - CPD Certified",https://www.reed.co.uk/courses/teaching-assistant-complete-course-ta-sen-autism-adhd-dyslexia-cpd-certified/228586#/courses/discount?sortby=MostPopular,Janets,0,"1,644 students purchased this course",10.0,1479.0,yes,no,no,missing,missing
247537,Microsoft Excel,https://www.reed.co.uk/courses/microsoft-excel/247537#/courses/discount?sortby=MostPopular,Inspire London College Ltd,351,351 students purchased this course,10.0,595.0,no,yes,no,Training Qualifications UK Ltd,Microsoft Office Specialist (MOS) in Microsoft Excel
97410,Accounting Diploma,https://www.reed.co.uk/courses/accounting-diploma/97410#/courses/discount?sortby=MostPopular,Brentwood Open learning College,104,104 students purchased this course,25.0,560.0,no,yes,no,ABC Awards,Level 4 Diploma  Accounting (Certificate of Achievement)
210657,Office Admin and Reception Skills,https://www.reed.co.uk/courses/office-admin-and-reception-skills/210657#/courses/discount?sortby=MostPopular,1 Training,734,734 students purchased this course,10.0,349.0,yes,no,no,missing,missing
