courseId,courseTitle,courseProvider,rankChanged
140784,"Microsoft Excel Complete Course - Beginner, Intermediate & Advanced- CPD ",Be-a.co.uk,1.0
162300,Food Hygiene Course - Level 2 ,The Training Terminal,-1.0
197897,Project Management Course,CPD Courses,0.0
266620,Leadership & Management,CPD Courses,0.0
188840,Basic Food Hygiene Certificate - Also known as Food Safety Level 2  ,The Training Terminal,0.0
228135,Office Administration,1 Training,1.0
228586,"Teaching Assistant Complete Course (TA, SEN, Autism, ADHD & Dyslexia) - CPD Certified",Janets,-1.0
77566,Classroom Behaviour Management Course - Level 3 CPD Accredited ,Oplex Careers,1.0
247537,Microsoft Excel,Inspire London College Ltd,-1.0
210657,Office Admin and Reception Skills,1 Training,0.0
98276,Project Management ,Oxford Home Study College,0.0
227506,Child Psychology - Level 5 ,Oxford Home Study College,1.0
234929,Car Mechanic Training,One Education,new
229553,Xero Accounting and Bookkeeping Course,Janets,-2.0
51553,CACHE Level 3 Teaching Assistant Qualification (RQF) & SEN - *Recognised Qualification*,The Learning College,-1.0
227973,Sage 50 Payroll Complete Course - CPD Certified,Janets,0.0
197943,Teaching Assistant,CPD Courses,1.0
247335,Cyber Security,Brentwood Open learning College,-1.0
266528,Certificate in Child Care and Early Learning – Level 3,Study365,1.0
24314,PRINCE2® Foundation & Practitioner with both Exams (Award-Winning Course),e-Careers,4.0
230387,HR Management,CPD Courses,-2.0
237269,Digital Marketing Diploma,Brentwood Open learning College,1.0
196928,Life Coaching,Oxford Home Study College,-1.0
196942,PRINCE2® Foundation and Practitioner 6th Edition e-learning with Foundation Exam,Balance Global,-3.0
211146,Train the Trainer,CPD Courses,5.0
77763,Estate Agent Diploma Level 3 - CPD Certified,Be-a.co.uk,1.0
239834,Internal Audit Skills Training Course - CPD Accredited,Course Gate,-1.0
97418,Diet and Nutrition Advanced Diploma Level 5,Brentwood Open learning College,0.0
196422,Safeguarding Children Level 2 – Online Training Course – NHS Health & Care - UK Accredited,Mandatory Compliance,-4.0
197569,Construction Management ,CPD Courses,4.0
233863,120 hours TEFL (TESOL) Masterclass,One Education,new
187744,Make-Up Artistry Course (Professional Make Up Artist)  - CPD Certified ,International Open Academy,-1.0
238184,Diploma in Social Work Studies - Level 3,1 Training,-1.0
