courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,othersAsCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName,courseLevel
234929,Car Mechanic Training,Level 3 Endorsed Diploma by TQUK | 15 CPD Points I MCQ Based Assessment | Full Tutor Support | Instant Result,https://www.reed.co.uk/courses/car-mechanic-training/234929#/courses/one-education/p1812?sortby=MostPopular,One Education,1461,"1,461 students purchased this course",14.0,199.0,yes,missing,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Level 3 Diploma in Car Mechanic (Endorsed Certificate),3.0
233863,120 hours TEFL (TESOL) Masterclass,Level 3 Endorsed Diploma by TQUK | 40 CPD Points I MCQ Based Assessment | Full Tutor Support | Instant Result,https://www.reed.co.uk/courses/120-hours-tefl-tesol-masterclass/233863#/courses/one-education/p1812?sortby=MostPopular,One Education,668,668 students purchased this course,14.0,199.0,yes,missing,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Level 3 Diploma in TEFL/TESOL Masterclass (Endorsed Certificate),3.0
246722,Level 3 Award in Education and Training - AET (Formerly PTLLS),Awarded by TQUK I Ofqual Regulated I Free PDF Book by Ann Gravells I Full Tutor Support I 12 Months Access,https://www.reed.co.uk/courses/level-3-award-in-education-and-training-aet-formerly-ptlls/246722#/courses/one-education/p1812?sortby=MostPopular,One Education,661,661 students purchased this course,10.0,399.0,no,missing,missing,yes,yes,Training Qualifications UK Ltd,Level 3 Award in Education and Training (QCF),3.0
237280,Microsoft Excel Ultimate 5 Courses Bundle with 100+ Exclusive Excel Templates,Level 5 Endorsed Diploma by TQUK | 40 CPD Points I MCQ Based Assessment | Full Tutor Support | Instant Result,https://www.reed.co.uk/courses/microsoft-excel-ultimate-5-courses-bundle-with-100-exclusive-excel-templates/237280#/courses/one-education/p1812?sortby=MostPopular,One Education,1425,"1,425 students purchased this course",16.0,199.0,yes,missing,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Level 5 Diploma in Microsoft Excel (Endorsed Certificate),5.0
233696,UK Employment Law,Level 5 Endorsed Diploma by TQUK | 20 CPD Points I MCQ Based Assessment | Full Tutor Support | Instant Result,https://www.reed.co.uk/courses/uk-employment-law/233696#/courses/one-education/p1812?sortby=MostPopular,One Education,1246,"1,246 students purchased this course",14.0,199.0,yes,missing,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Level 5 Diploma in UK Employment Law (Endorsed Certificate),5.0
237348,Speech Therapist and SEN Teaching Assistant Course - CPD Accredited,CPD Accredited Course | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/speech-therapist-and-sen-teaching-assistant-course-cpd-accredited/237348#/courses/one-education/p1812?sortby=MostPopular,One Education,733,733 students purchased this course,10.0,199.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,20 CPD points / hours,missing
239173,HR and Payroll Administrator Course,Level 7 Endorsed Diploma by TQUK | 10 CPD Points I MCQ Based Assessment | Full Tutor Support | Instant Result,https://www.reed.co.uk/courses/hr-and-payroll-administrator-course/239173#/courses/one-education/p1812?sortby=MostPopular,One Education,759,759 students purchased this course,14.0,199.0,yes,missing,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Level 7 Diploma in HR and Payroll Administrator (Endorsed Certificate),7.0
264599,Building Surveyor Training - CPD Accredited,Exam Is Included With The Course Price | Tutor Support | Instant Result | No Hidden Fees | 12 Months Access,https://www.reed.co.uk/courses/building-surveyor-training-cpd-accredited/264599#/courses/one-education/p1812?sortby=MostPopular,One Education,218,218 students purchased this course,14.0,199.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,5 CPD points / hours,missing
249336,Gel Manicure and Nail Technician Diploma - CPD Accredited,Gel Manicure and Nail Technician Diploma Accredited by CPD  | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/gel-manicure-and-nail-technician-diploma-cpd-accredited/249336#/courses/one-education/p1812?sortby=MostPopular,One Education,210,210 students purchased this course,10.0,199.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,5 CPD points / hours,missing
245632,COSHH Training for Assessors - CPD Accredited,COSHH Training for Assessors Course Accredited by CPD  | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/coshh-training-for-assessors-cpd-accredited/245632#/courses/one-education/p1812?sortby=MostPopular,One Education,48,48 students purchased this course,10.0,199.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,2 CPD points / hours,missing
